  186).	   63.000  47.000  62.000    47.000 
  187).	   47.000  63.000  46.000    47.000 
  188).	   63.000  47.000  62.000    47.000 
  189).	   63.000  46.000  63.000    47.000 
  190).	   62.000  63.000  47.000    62.000 
  191).	   47.000  63.000  62.000    47.000 
  192).	   62.000  63.000  47.000    62.000 
  193).	   63.000  62.000  47.000    63.000 
  194).	   62.000  63.000  47.000    62.000 
  195).	   63.000  62.000  63.000    46.000 
  196).	   63.000  62.000  63.000    73.000 
  197).	   63.000  62.000  63.000    62.000 
  198).	   63.000  62.000  63.000    62.000 
  199).	   63.000  62.000  63.000    62.000 
  200).	   78.000  63.000  62.000    63.000 
  201).	   78.000  63.000  62.000    63.000 
  202).	   78.000  62.000  63.000    78.000 
  203).	   62.000  63.000  78.000    62.000 
  204).	   63.000  78.000  63.000    78.000 
  205).	   62.000  78.000  63.000    62.000 
  206).	   78.000  63.000  78.000    78.000 
  207).	   63.000  78.000  62.000    78.000 
  208).	   79.000  62.000  78.000    78.000 
  209).	   78.000  63.000  78.000    78.000 
  210).	   78.000  78.000  63.000    78.000 
  211).	   78.000  78.000  78.000    79.000 
  212).	   78.000  78.000  62.000    79.000 
  213).	   78.000  78.000  78.000    78.000 
  214).	   94.000  78.000  78.000    78.000 
  215).	   78.000  78.000  79.000    93.000 
  216).	   78.000  79.000  78.000    78.000 
  217).	   94.000  78.000  78.000    94.000 
  218).	   78.000  78.000  94.000    78.000 
  219).	   93.000  79.000  78.000    93.000 
  220).	   79.000  93.000  78.000    94.000 
  221).	   94.000  78.000  94.000    94.000 
  222).	   78.000  93.000  94.000    78.000 
  223).	   94.000  94.000  78.000    94.000 
  224).	   93.000  94.000  94.000    94.000 
  225).	   78.000  94.000  93.000    94.000 
  226).	   94.000  94.000  93.000    94.000 
  227).	   94.000  94.000 109.000    94.000 
  228).	   93.000  94.000  94.000    94.000 
  229).	   93.000 110.000  94.000    93.000 
  230).	   94.000 109.000  94.000    94.000 
  231).	  109.000  94.000 109.000    94.000 
  232).	  110.000  93.000 110.000    93.000 
  233).	  110.000 109.000  94.000   109.000 
  234).	   94.000 109.000 110.000    94.000 
  235).	  109.000 109.000  94.000   109.000 
  236).	  110.000 109.000 110.000    93.000 
  237).	  110.000 109.000 109.000   110.000 
  238).	  109.000 110.000 109.000   109.000 
  239).	  110.000 109.000 109.000   125.000 
  240).	  110.000 109.000 110.000   109.000 
  241).	  125.000 109.000 110.000   109.000 
  242).	  125.000 109.000 110.000   125.000 
  243).	  109.000 125.000 110.000   109.000 
  244).	  125.000 109.000 125.000   110.000 
  245).	  125.000 125.000 109.000   125.000 
  246).	  125.000 109.000 125.000   125.000 
  247).	  125.000 125.000 110.000   125.000 
  248).	  125.000 125.000 125.000   125.000 
  249).	  125.000 125.000 125.000   125.000 
  250).	  125.000 125.000 140.000   125.000 
  251).	  125.000 126.000 125.000   125.000 
  252).	  140.000 125.000 125.000   125.000 
  253).	  141.000 125.000 140.000   125.000 
  254).	  125.000 141.000 125.000   141.000 
  255).	  125.000 140.000 141.000   125.000 
  256).	  141.000 140.000 125.000   141.000 
  257).	  140.000 141.000 125.000   141.000 
  258).	  140.000 141.000 141.000   140.000 
  259).	  141.000 140.000 141.000   141.000 
  260).	  140.000 141.000 141.000   140.000 
  261).	  141.000 156.000 141.000   140.000 
  262).	  157.000 140.000 141.000   140.000 
  263).	  157.000 156.000 156.000   141.000 
  264).	  156.000 141.000 156.000   141.000 
  265).	  156.000 156.000 141.000   156.000 
  266).	  156.000 156.000 157.000   156.000 
  267).	  156.000 156.000 157.000   156.000 
  268).	  187.000 172.000 203.000   172.000 
  269).	  157.000 156.000 156.000   156.000 
  270).	  172.000 172.000 156.000   157.000 
  271).	  171.000 219.000 172.000   156.000 
  272).	  172.000 156.000 172.000   157.000 
  273).	  171.000 157.000 172.000   156.000 
  274).	  172.000 156.000 187.000   172.000 
  275).	  172.000 172.000 156.000   172.000 
  276).	  172.000 172.000 172.000   187.000 
  277).	  172.000 172.000 172.000   188.000 
  278).	  171.000 172.000 188.000   172.000 
  279).	  172.000 187.000 203.000   188.000 
  280).	  187.000 172.000 188.000   171.000 
  281).	  188.000 187.000 188.000   187.000 
  282).	  172.000 188.000 187.000   219.000 
  283).	  188.000 187.000 188.000   187.000 
  284).	  188.000 187.000 188.000   187.000 
  285).	  188.000 203.000 187.000   188.000 
  286).	  187.000 188.000 187.000   188.000 
  287).	  203.000 187.000 188.000   187.000 
  288).	  203.000 188.000 187.000   204.000 
  289).	  187.000 203.000 188.000   203.000 
  290).	  187.000 203.000 204.000   187.000 
  291).	  203.000 203.000 203.000   204.000 
  292).	  203.000 203.000 187.000   204.000 
  293).	  218.000 203.000 203.000   219.000 
  294).	  235.000 203.000 203.000   219.000 
  295).	  203.000 219.000 203.000   203.000 
  296).	  219.000 281.000 219.000   218.000 
  297).	  203.000 219.000 203.000   219.000 
  298).	  203.000 219.000 219.000   203.000 
  299).	  219.000 218.000 219.000   219.000 
  300).	  219.000 218.000 219.000   219.000 
